"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn"
"displacement_diveded_size.1",9803,1,192,0.0155165889744894,0.0026657781817567,0.0288454798832729,1.65131378173828,"displacement_diveded_size",2895,67781.9835,NA,NA,14,0,0,0.0225,6,6,5,10,5,4,8
"size1.5.6",507511,6,171,0.00754286677414911,0.0041749137901819,0.0284174357250586,1.22924900054932,"size1.5",2580,63374.9835,NA,NA,15,0,0,0.0225,6,5,4,10,4,1,15
"displacement_diveded_size.0",729,0,159,0.00838768840110738,0.00393016357147674,0.0280385062584911,1.85966897010803,"displacement_diveded_size",2400,4838.0028,NA,NA,14,0,0,0.0225,4,9,4,10,4,8,31
"displacement_diveded_size2.6",34477,6,185,0.0105138388643528,0.00329328190356286,0.0269802483821671,2.31864500045776,"displacement_diveded_size2",2790,241036.0479,NA,NA,19,0,0,0.0225,6,13,10,10,10,6,39
"displacement_diveded_size2.7",38593,7,166,0.00648418767920439,0.00393389630074108,0.0261536691829098,2.09536004066467,"displacement_diveded_size2",2505,269307.9972,NA,NA,19,0,0,0.0225,6,10,6,10,6,5,25
"baseline_new_fitness_function.7",35859,7,129,0.00985401837174408,0.00324042199745788,0.0260561283590335,2.29188299179077,"baseline_new_fitness_function",1950,250529.0439,NA,NA,17,0,0,0.0225,5,10,5,10,5,7,31
"baseline_new_fitness_function.3",17223,3,117,0.0260659390467871,-0.000380343756351326,0.0241642202650304,1.59661793708801,"baseline_new_fitness_function",1770,120015.072,NA,NA,14,0,0,0.0225,6,4,1,8,1,0,0
"baseline_new_fitness_function.8",42238,8,146,0.0202943059517916,0.000121254539061351,0.0209005786470983,1.601970911026,"baseline_new_fitness_function",2205,294747.0117,NA,NA,12,0,0,0.0225,4,7,5,10,5,0,6
"displacement_diveded_size2.8",42652,8,108,0.00744973796607832,0.00211902816630107,0.0180448787975837,1.64702391624451,"displacement_diveded_size2",1635,297618.0639,NA,NA,16,0,0,0.0225,6,6,4,10,4,8,29
"size2.0",384,0,15,0.00282737796106012,0.0024760666407658,0.0152077111648891,1.84600400924683,"size2",240,2692.0422,NA,NA,14,0,0,0.0225,4,7,4,8,4,10,32
