"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn","bbox_min_x","bbox_min_y","bbox_min_z","bbox_max_x","bbox_max_y","bbox_max_z"
"world4n_diagonal.11",1006216,11,42,0.0578983395174554,0.0129930258190167,0.122863468612539,5.11872315406799,"world4n_diagonal",645,163715.0037,1006060,1006021,16,0,0,0.0225,1,10,10,6,10,4,47,-0.045,-0.411708862063175,-0.0225,0.365899990065857,0.045,0.0225
"world4n_diagonal.16",1028614,16,95,0.0251055437365734,0.0145056246137912,0.0976336668055295,1.76050901412964,"world4n_diagonal",1440,810455.0685,1028536,1028491,7,0,0,0.0225,2,4,4,6,4,1,20,-0.045,-0.128302619613082,-0.0225,0.045,0.276523784177203,0.0225
"world4n_diagonal.19",1040237,19,83,0.0189502584551719,0.0154282892991002,0.0960917049506727,2.75233888626099,"world4n_diagonal",1260,1139033.0097,1039529,1039295,11,0,0,0.0225,4,7,7,6,7,2,23,-0.136764879884178,-0.308708461830664,-0.0225,0.045,0.0827000624444668,0.0225
"world4n_diagonal.13",1016529,13,99,0.0188348444434331,0.015295560193077,0.0953126454088181,2.75724387168884,"world4n_diagonal",1500,464138.007,1016402,1016116,13,0,0,0.0225,4,6,6,6,6,4,37,-0.0943062227031751,-0.1237,-0.0225,0.116397156302849,0.330172222703175,0.0225
"world4n_diagonal.18",1035033,18,66,0.0190774906095483,0.0138824127331308,0.0884895542752022,4.92854499816895,"world4n_diagonal",1005,993873.0132,1034746,1034951,20,0,0,0.0225,4,10,10,6,10,2,26,-0.155205486970838,-0.252302032514742,-0.0225,0.0992000753005663,0.123700075300566,0.0225
"world4n_diagonal.12",1012514,12,97,0.0213947940422982,0.0133300110305688,0.0880448491951423,3.88102507591248,"world4n_diagonal",1470,348199.053,1012458,1012135,14,0,0,0.0225,4,9,9,6,9,4,36,-0.1958,-0.123700075300566,-0.0225,0.27780004511119,0.0860000753005663,0.0225
"world4n_diagonal.14",1019505,14,90,0.021081803797217,0.0132084205775092,0.0871239066847629,4.16196703910828,"world4n_diagonal",1365,544235.0706,1017674,1019253,18,0,0,0.0225,7,9,9,6,9,5,37,-0.2778,-0.166150338739914,-0.0225,0.1581,0.143547134634266,0.0225
"world4n_diagonal.10",1002871,10,98,0.0228720477707673,0.0121247963315251,0.0834960294283929,5.17375707626343,"world4n_diagonal",1485,74278.0098,1002791,26,0,0,0.0225,11,10,10,6,10,0,27,-0.400800075300566,-0.281255410399578,-0.0225,0.136705817895858,0.0961975609120251,0.0225,NA
"world4n_diagonal.15",1022259,15,48,0.0362557013189674,0.00543912413037148,0.0634513219708248,3.27743196487427,"world4n_diagonal",735,621894.0063,1022057,1021767,18,0,0,0.0225,5,7,7,6,7,9,18,-0.296081922783353,-0.0906327810731023,-0.0225,0.314446443992585,0.155221126678034,0.0225
"world4n_diagonal.17",1032655,17,89,0.0112924938339466,0.00900817008538296,0.0563333442608614,2.86629605293274,"world4n_diagonal",1350,928009.0698,1032329,1032612,9,0,0,0.0225,4,6,6,6,6,2,19,-0.0827000451110621,-0.167853255536544,-0.0225,0.0582,0.161400062444467,0.0225
