"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn"
"world0_old_fitness.19",1041224,19,82,0.0802844787675568,0.0450252589662063,0.305410773598589,2.70182514190674,"world0_old_fitness",1245,1216792.0131,1040209,1040198,27,0,0,0.0225,8,8,8,6,8,2,14
"world0_old_fitness.18",1037786,18,99,0.0547681933404659,0.038143303373735,0.245484710209141,2.84132695198059,"world0_old_fitness",1500,1115549.0121,1037075,1037702,23,0,0,0.0225,7,7,7,6,7,5,21
"world0_old_fitness.13",1017006,13,94,0.0441333716016332,0.0324508666863447,0.206387705033357,1.85388493537903,"world0_old_fitness",1425,479178.0579,1015525,1015335,22,0,0,0.0225,3,6,6,6,6,0,16
"world0_old_fitness.15",1023733,15,62,0.0375826613210328,0.026625362475512,0.170709473698593,1.68173885345459,"world0_old_fitness",945,687370.0227,1023147,1022703,17,0,0,0.0225,3,6,6,6,6,6,15
"world0_old_fitness.16",1028722,16,78,0.062927406336131,0.021514807653063,0.170501444601446,2.44951605796814,"world0_old_fitness",1185,844944.0645,1028362,1027707,21,0,0,0.0225,5,7,7,6,7,4,21
"world0_old_fitness.17",1033342,17,92,0.0390956012583252,0.0254887209844214,0.166539206180432,3.48409795761108,"world0_old_fitness",1395,979779.0039,1030465,1032932,19,0,0,0.0225,4,10,10,6,10,4,15
"world0_old_fitness.11",1005588,11,34,0.0303816496296017,0.0271882185287802,0.166322742273503,2.84669995307922,"world0_old_fitness",525,153995.9835,1005554,1005223,22,0,0,0.0225,5,8,8,6,8,2,20
"world0_old_fitness.14",1021365,14,99,0.0532056594111638,0.0215966309751402,0.161188814286865,2.25794696807861,"world0_old_fitness",1500,614717.079,1018773,1019214,13,0,0,0.0225,3,8,8,6,8,5,46
"world0_old_fitness.12",1013121,12,97,0.106934909864344,0.00902834750028971,0.152076647365793,3.27655100822449,"world0_old_fitness",1470,365717.0751,1012466,1012430,24,0,0,0.0225,5,10,10,6,10,0,24
"world0_old_fitness.10",1004238,10,99,0.0190606594432847,0.0194065387052858,0.116093352969714,2.36019396781921,"world0_old_fitness",1500,117934.0035,1002187,1003935,20,0,0,0.0225,6,7,7,6,7,0,5
