"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn","bbox_min_x","bbox_min_y","bbox_min_z","bbox_max_x","bbox_max_y","bbox_max_z"
"world3n_bbox.14",1019019,14,65,0.0247128632122562,0.0198766409425908,0.12409606792521,3.00918388366699,"world3n_bbox",990,551192.0268,1018048,1018888,16,0,0,0.0225,5,8,8,6,8,4,39,-0.1237,-0.045,-0.0225,0.318800075300566,0.137930732796456,0.0225
"world3n_bbox.11",1007897,11,88,0.0221521757022978,0.018261451558876,0.113459433496678,3.29428791999817,"world3n_bbox",1335,222307.0125,1006072,1007553,13,0,0,0.0225,3,9,9,6,9,5,34,-0.0827000451110621,-0.174600075300566,-0.0225,0.0959000451111436,0.161400075300566,0.0225
"world3n_bbox.10",1002982,10,72,0.0218470358671191,0.0179014018253217,0.111354044993728,3.44816708564758,"world3n_bbox",1095,86223.027,1001200,1001765,15,0,0,0.0225,4,9,9,6,9,0,6,-0.236800045111062,-0.18933583224743,-0.0225,0.0601991983294411,0.243334882381142,0.0225
"world3n_bbox.16",1026306,16,48,0.0589438661801009,0.00941877196374918,0.106037725998847,4.08150315284729,"world3n_bbox",735,769263.0414,1026049,1025985,20,0,0,0.0225,1,10,10,6,10,0,2,-0.045,-0.0808139723755087,-0.0225,0.612103596382918,0.278231550381491,0.0225
"world3n_bbox.19",1040676,19,81,0.023921697236573,0.0150933400069512,0.0993883972713289,3.88065195083618,"world3n_bbox",1230,1187673.0549,1040598,1040422,16,0,0,0.0225,4,10,10,6,10,7,35,-0.196506189850203,-0.264677832312386,-0.0225,0.289615240014726,0.136386416218508,0.0225
"world3n_bbox.18",1036224,18,70,0.0164380361032676,0.0145291027887112,0.0890835500468235,3.52490186691284,"world3n_bbox",1065,1058566.9995,1035858,1035631,12,0,0,0.0225,4,10,10,6,10,0,25,-0.158100045111062,-0.086,-0.0225,0.2335,0.120400062444237,0.0225
"world3n_bbox.17",1031625,17,63,0.027530541870479,0.0116372995340031,0.0857170395404947,3.23265790939331,"world3n_bbox",960,925277.0631,1030825,1031267,20,0,0,0.0225,5,8,8,6,8,3,40,-0.176678284237662,-0.259080539337088,-0.0225,0.134954456946882,0.317520553130827,0.0225
"world3n_bbox.13",1014877,13,63,0.0249468652047021,0.00735973806595432,0.0617455555344737,2.63197803497314,"world3n_bbox",960,429910.0584,1014068,1014286,11,0,0,0.0225,3,7,7,6,7,1,7,-0.045,-0.0952872310706846,-0.0225,0.349900075300566,0.0925358073609417,0.0225
"world3n_bbox.12",1012804,12,99,0.0184029762015562,0.00736603908047666,0.0552331716039395,2.84694194793701,"world3n_bbox",1500,364579.0167,1011019,1012374,22,0,0,0.0225,8,6,6,6,6,2,39,-0.373000054398519,-0.124589060669822,-0.0225,0.0953996414548355,0.161459131501093,0.0225
"world3n_bbox.15",1024553,15,84,0.00947285471884718,0.00634592548421237,0.041202482139909,2.87462401390076,"world3n_bbox",1275,715896.0522,1024352,1023683,13,0,0,0.0225,4,8,8,6,8,7,22,-0.1614,-0.123700075300566,-0.0225,0.199100054398519,0.161400075300566,0.0225
