"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn","bbox_min_x","bbox_min_y","bbox_min_z","bbox_max_x","bbox_max_y","bbox_max_z"
"world3n_diagonal.14",1020176,14,84,0.0320744165077327,0.0249081994023459,0.156615413519462,1.38472199440002,"world3n_diagonal",1275,627889.0296,1020143,14,0,0,0.0225,3,4,4,6,4,4,34,-0.120788779919491,-0.312754792826016,-0.0225,0.100071823649676,0.335549144919106,0.0225,NA
"world3n_diagonal.18",1037155,18,82,0.0277911117596565,0.0208603876563341,0.132093050041327,3.50179004669189,"world3n_diagonal",1245,1111927.0017,1037044,14,0,0,0.0225,3,10,10,6,10,5,39,-0.209,-0.123700075300566,-0.0225,0.24010004511119,0.045,0.0225,NA
"world3n_diagonal.10",1003364,10,86,0.0406872714079591,0.0175839494302542,0.12860701855923,2.20358610153198,"world3n_diagonal",1305,97125.0666,1003002,16,0,0,0.0225,4,6,6,6,6,1,7,-0.123700054398519,-0.1402,-0.0225,0.281100075300566,0.0615000543985186,0.0225,NA
"world3n_diagonal.11",1006491,11,53,0.0305238442782201,0.0188582216832368,0.124814952694404,2.30542588233948,"world3n_diagonal",810,195398.0007,1006058,1006036,16,0,0,0.0225,5,6,6,6,6,6,20,-0.232768509010491,-0.266361813712858,-0.0225,0.183120315203223,0.045,0.0225
"world3n_diagonal.16",1028637,16,87,0.0290064914055956,0.0162559196709244,0.110286089760217,3.06277394294739,"world3n_diagonal",1320,872490.0333,1027985,1026213,22,0,0,0.0225,6,9,9,6,9,0,17,-0.226935559356263,-0.335725945718077,-0.0225,0.165005960808981,0.0860000543985186,0.0225
"world3n_diagonal.17",1031959,17,51,0.0226520929582259,0.0155674972033624,0.100489578975038,2.49743509292603,"world3n_diagonal",780,966053.9874,1031810,1031095,21,0,0,0.0225,6,8,8,6,8,0,20,-0.0827000451110621,-0.363561610684153,-0.0225,0.23729693394107,0.123700075300566,0.0225
"world3n_diagonal.19",1041423,19,96,0.0217959406351471,0.0134027695217872,0.0888097882440831,3.48491096496582,"world3n_diagonal",1455,1234369.0038,1040745,1040618,19,0,0,0.0225,6,10,10,6,10,0,28,-0.242874693260846,-0.231332125519095,-0.0225,0.180752358071839,0.164303924683933,0.0225
"world3n_diagonal.12",1011346,12,83,0.021977938386653,0.0129512148262509,0.0867340125179074,3.5043408870697,"world3n_diagonal",1260,345758.0229,1010016,1011310,11,0,0,0.0225,3,10,10,6,10,8,30,-0.233500045111062,-0.0827000624442375,-0.0225,0.1958,0.045,0.0225
"world3n_diagonal.15",1021915,15,24,0.0216934405101009,0.00520873965918666,0.0477371388060342,2.48009991645813,"world3n_diagonal",375,681359.0703,1021875,1021862,17,0,0,0.0225,4,8,8,6,8,4,12,-0.123700045110896,-0.0827000624442375,-0.0225,0.18957259715366,0.269604573613475,0.0225
"world3n_diagonal.13",1013845,13,32,0.00915543775935367,0.00567706953251085,0.0375407854219079,1.95794796943665,"world3n_diagonal",495,421831.0308,1013474,1013596,9,0,0,0.0225,3,7,7,6,7,10,22,-0.045,-0.0582000624442375,-0.0225,0.1237,0.233500062444482,0.0225
