"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn","bbox_min_x","bbox_min_y","bbox_min_z","bbox_max_x","bbox_max_y","bbox_max_z"
"world4n_bbox.16",1025386,16,23,0.0536709381579403,0.0151743738922767,0.129542807619324,2.77526116371155,"world4n_bbox",360,749423.9901,1025041,1025226,14,0,0,0.0225,3,6,6,6,6,3,20,-0.0920274967975241,-0.411432238439007,-0.0225,0.449943347469552,0.115797342772062,0.0225
"world4n_bbox.14",1018483,14,79,0.0327218248677426,0.0155634235668936,0.110538942702211,1.95633983612061,"world4n_bbox",1200,541166.0457,1017997,1018037,8,0,0,0.0225,2,5,5,6,5,1,18,-0.045,-0.275415594873205,-0.0225,0.045,0.162164563420596,0.0225
"world4n_bbox.17",1030097,17,76,0.0377845848410729,0.0140976956550687,0.108273063116417,3.8830189704895,"world4n_bbox",1155,889523.9838,1029651,1029807,19,0,0,0.0225,5,9,9,6,9,2,20,-0.132959719317896,-0.260580635763081,-0.0225,0.165287634570113,0.334541437335162,0.0225
"world4n_bbox.13",1015914,13,93,0.0369372328688712,0.0138648206335092,0.106261336036417,2.6512348651886,"world4n_bbox",1410,463398.0246,1015392,1014333,13,0,0,0.0225,3,6,6,6,6,10,20,-0.252500540805189,-0.045,-0.0225,0.0860000753005663,0.205334863988331,0.0225
"world4n_bbox.19",1041026,19,96,0.0310022122403478,0.0122195366518935,0.0920998954998152,2.59561204910278,"world4n_bbox",1455,1187312.0154,1040812,1040823,11,0,0,0.0225,3,7,7,6,7,2,38,-0.136900045110896,-0.1237,-0.0225,0.045,0.236800062444237,0.0225
"world4n_bbox.15",1023631,15,85,0.0485696971719245,0.00813540457018291,0.0892467200228391,1.76115083694458,"world4n_bbox",1290,697550.9895,1023034,1023341,8,0,0,0.0225,3,5,5,6,5,4,28,-0.100439696668315,-0.045,-0.0225,0.2335,0.0970684946072704,0.0225
"world4n_bbox.18",1035529,18,59,0.0376920206074953,0.0087009597899522,0.0811968195572562,4.23694491386414,"world4n_bbox",900,1034613.9993,1035256,17,0,0,0.0225,4,9,9,6,9,0,21,-0.045,-0.1614,-0.0225,0.277800075300566,0.045,0.0225,NA
"world4n_bbox.10",1003642,10,94,0.0203608692161662,0.0119628496262777,0.0801751173475546,3.52459192276001,"world4n_bbox",1425,97925.9817,1002436,1002718,20,0,0,0.0225,7,7,7,6,7,3,23,-0.180468678447362,-0.238601226131683,-0.0225,0.137505619849528,0.373532491659854,0.0225
"world4n_bbox.12",1009049,12,34,0.0209157911417827,0.0114503161468436,0.0781673718760008,3.07203793525696,"world4n_bbox",525,258830.9976,1008685,1008807,16,0,0,0.0225,4,7,7,6,7,0,6,-0.160686532655305,-0.236800075300566,-0.0225,0.214567731690144,0.139834827390491,0.0225
"world4n_bbox.11",1006790,11,76,0.0111022786910221,0.00905317891757369,0.0563681732788905,1.92939805984497,"world4n_bbox",1155,191897.067,1006712,1006579,8,0,0,0.0225,3,5,5,6,5,6,21,-0.1958,-0.0860000753005663,-0.0225,0.1237,0.045,0.0225
