"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn"
"world1_old_fitness.11",1007730,11,86,0.0496450472571047,0.0228832577757293,0.164061336135751,6.18630313873291,"world1_old_fitness",1305,206459.0763,1007315,1007599,16,0,0,0.0225,3,10,10,6,10,3,45
"world1_old_fitness.17",1032298,17,95,0.0625429080617017,0.0168140500241191,0.146613158182297,5.75327301025391,"world1_old_fitness",1440,835023.018,1032184,1032141,16,0,0,0.0225,3,9,9,6,9,1,20
"world1_old_fitness.13",1017684,13,99,0.0425470205869347,0.0203559482377129,0.144326761775499,6.93908190727234,"world1_old_fitness",1500,441682.0323,1017289,1015805,15,0,0,0.0225,3,10,10,6,10,5,38
"world1_old_fitness.15",1024804,15,97,0.0465195255626333,0.0152109155525355,0.122574103325311,4.4878990650177,"world1_old_fitness",1470,633810.0267,1023908,1024158,15,0,0,0.0225,5,6,6,6,6,5,23
"world1_old_fitness.16",1028875,16,82,0.0707449922030007,0.00944121111714812,0.117951047788741,6.15275502204895,"world1_old_fitness",1245,742343.0028,1028425,1028101,22,0,0,0.0225,4,10,10,6,10,4,17
"world1_old_fitness.14",1021336,14,98,0.0409841374293866,0.0147960134929964,0.114964204894369,5.54497599601746,"world1_old_fitness",1485,540493.0488,1021050,1019677,17,0,0,0.0225,3,9,9,6,9,5,12
"world1_old_fitness.19",1040269,19,70,0.0446953729014144,0.0123564795882928,0.106477770842878,5.64455699920654,"world1_old_fitness",1065,1047867.0741,1040108,1040063,18,0,0,0.0225,4,9,9,6,9,0,21
"world1_old_fitness.10",1003307,10,83,0.0464081535491126,0.00981878062229917,0.0955020566606084,5.73992800712585,"world1_old_fitness",1260,86769.0219,1002556,1000684,25,0,0,0.0225,9,9,9,6,9,4,21
"world1_old_fitness.12",1011758,12,67,0.0729248294959463,0.00374363111510134,0.091642985071453,4.68916916847229,"world1_old_fitness",1020,293723.028,1010732,1009487,21,0,0,0.0225,8,5,5,6,5,7,23
"world1_old_fitness.18",1037139,18,93,0.0275776534822414,0.0124821463785251,0.0899883853748671,4.67601013183594,"world1_old_fitness",1410,965525.9808,1035656,1036825,17,0,0,0.0225,5,6,6,6,6,0,12
