"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn","bbox_min_x","bbox_min_y","bbox_min_z","bbox_max_x","bbox_max_y","bbox_max_z"
"world0n_bbox.16",1027731,16,88,0.0309177838695306,0.0241707995190962,0.151771781465011,3.35230398178101,"world0n_bbox",1335,898817.0409,1026544,1026266,19,0,0,0.0225,4,10,10,6,10,4,20,-0.205684174242302,-0.236800075300566,-0.0225,0.0860000543985186,0.316315114923609,0.0225
"world0n_bbox.13",1014962,13,73,0.035899220676664,0.0224698562757594,0.148248502055461,2.54931497573853,"world0n_bbox",1110,468687.0036,1014677,14,0,0,0.0225,5,8,8,6,8,2,34,-0.48135787313179,-0.117901552689916,-0.0225,0.0827000451111436,0.045,0.0225,NA
"world0n_bbox.18",1036115,18,82,0.0245818991772563,0.0215175742131285,0.132169770242899,2.68690514564514,"world0n_bbox",1245,1152391.0725,1035947,12,0,0,0.0225,4,9,9,6,9,2,15,-0.0827,-0.236800075300566,-0.0225,0.0827000451111436,0.199100075300566,0.0225,NA
"world0n_bbox.15",1022197,15,47,0.0408243328200273,0.017692839457486,0.129288530107457,1.4069139957428,"world0n_bbox",720,722741.0298,1022024,1022149,12,0,0,0.0225,3,5,5,6,5,2,6,-0.0628089355085859,-0.211824172513743,-0.0225,0.10941791880513,0.300374146330121,0.0225
"world0n_bbox.17",1032192,17,98,0.0388113727177234,0.0158649819388118,0.118136282411783,2.89541506767273,"world0n_bbox",1485,1033916.0145,1032040,1030623,21,0,0,0.0225,3,8,8,6,8,4,33,-0.045,-0.442432985730869,-0.0225,0.550424647010419,0.221686436001745,0.0225
"world0n_bbox.14",1019305,14,97,0.0274645135149184,0.0144219573086704,0.0995743000582705,1.33259105682373,"world0n_bbox",1470,619273.9833,1018977,1018676,13,0,0,0.0225,4,3,3,6,3,2,20,-0.191996464285306,-0.045,-0.0225,0.354960198196827,0.116457950889942,0.0225
"world0n_bbox.10",1001401,10,94,0.0491274333210104,0.00966464062759271,0.0974506364589739,2.01428985595703,"world0n_bbox",1425,50010.0435,1001200,1001193,13,0,0,0.0225,4,7,7,6,7,0,7,-0.0860000753005663,-0.135122230286031,-0.0225,0.417126744799191,0.0860000543985186,0.0225
"world0n_bbox.19",1039899,19,81,0.0216115371564052,0.0134192915689662,0.0887079950012361,2.51442313194275,"world0n_bbox",1230,1267354.0623,1039468,17,0,0,0.0225,3,8,8,6,8,0,2,-0.253229392194143,-0.323647468526013,-0.0225,0.125231468526013,0.200969364169696,0.0225,NA
"world0n_bbox.11",1007875,11,99,0.0148056846754257,0.010534092292705,0.0674761461389509,1.73538708686829,"world0n_bbox",1500,255343.0386,1006804,9,0,0,0.0225,4,6,6,6,6,2,18,-0.1581,-0.0860000753005663,-0.0225,0.158100045111024,0.0860000753005663,0.0225,NA
"world0n_bbox.12",1011692,12,92,0.0137785526686925,0.00780035528934161,0.0527803291154006,3.35241484642029,"world0n_bbox",1395,368791.9824,1010960,1011278,13,0,0,0.0225,4,10,10,6,10,2,20,-0.1581,-0.179203650701178,-0.0225,0.1991,0.120400062444711,0.0225
