"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn"
"world1n_divided_size.11",1007391,11,83,0.0527601577797841,0.0139329648616454,0.122424982088011,4.52169609069824,"world1n_divided_size",1260,210795.0141,1006344,1006182,13,0,0,0.0225,3,8,8,6,8,2,59
"world1n_divided_size.14",1017689,14,53,0.0376943497737587,0.0164350329323285,0.119869514435401,3.60598611831665,"world1n_divided_size",810,504338.0232,1017366,1017190,14,0,0,0.0225,3,6,6,6,6,3,15
"world1n_divided_size.15",1023188,15,97,0.0208288258598054,0.0111748911845914,0.0767032817827624,3.18500900268555,"world1n_divided_size",1470,662506.0545,1022897,1022627,8,0,0,0.0225,1,7,7,6,7,10,26
"world1n_divided_size.19",1039628,19,61,0.0256403747971456,0.00843944762621919,0.0678376129282415,2.93386101722717,"world1n_divided_size",930,1099812.0093,1039514,1039301,10,0,0,0.0225,2,6,6,6,6,2,26
"world1n_divided_size.17",1031438,17,76,0.0256566627977247,0.00837211737944536,0.0675172496949515,5.14861178398132,"world1n_divided_size",1155,894456.0645,1030005,1029597,20,0,0,0.0225,7,9,9,6,9,10,18
"world1n_divided_size.13",1015965,13,91,0.0272770162957825,0.0052642727294099,0.053598379942832,3.18767905235291,"world1n_divided_size",1380,456506.0235,1015933,1014454,8,0,0,0.0225,1,7,7,6,7,3,21
"world1n_divided_size.18",1037123,18,91,0.0211163768924907,0.00592210501283896,0.0507269019566855,4.05694699287415,"world1n_divided_size",1380,1034863.0179,1034821,1036135,18,0,0,0.0225,6,7,7,6,7,3,35
"world1n_divided_size.16",1028367,16,94,0.0243480944839861,0.00429667985536022,0.0458314937607872,3.23104286193848,"world1n_divided_size",1425,811663.0788,1027370,1026558,12,0,0,0.0225,3,6,6,6,6,7,31
"world1n_divided_size.10",1001948,10,52,0.0198597607886133,0.00341936322635121,0.0369565769203694,3.57271313667297,"world1n_divided_size",795,56160.0393,1001457,1001351,9,0,0,0.0225,3,7,7,6,7,1,14
"world1n_divided_size.12",1008207,12,0,0.00903361113774893,0.00208151175492562,0.019441169912377,4.42334508895874,"world1n_divided_size",15,232756.0713,NA,NA,16,0,0,0.0225,7,8,8,6,8,3,23
