"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn"
"world3nn_divided_size.13",1014700,13,93,0.0300727411401618,0.017858341613218,0.119364449206252,2.99279594421387,"world3nn_divided_size",1410,462015.9882,1014425,1014021,13,0,0,0.0225,3,8,8,6,8,3,34
"world3nn_divided_size.15",1022696,15,87,0.0330439000470497,0.016039894873823,0.113243374416165,3.44413805007935,"world3nn_divided_size",1320,706125.036,1021334,1021247,17,0,0,0.0225,6,9,9,6,9,0,16
"world3nn_divided_size.18",1035023,18,68,0.0364400575244751,0.0143001924340631,0.107941019694791,4.05506610870361,"world3nn_divided_size",1035,1072920.0291,1034938,1034774,16,0,0,0.0225,3,10,10,6,10,2,22
"world3nn_divided_size.16",1028216,16,97,0.0256499265122508,0.016133253246719,0.106316192745846,2.56146907806396,"world3nn_divided_size",1470,865895.0343,1028057,1027326,13,0,0,0.0225,4,8,8,6,8,0,25
"world3nn_divided_size.12",1011678,12,93,0.0232406348428821,0.016401391730277,0.105247593494267,8.51946210861206,"world3nn_divided_size",1410,370403.985,1010806,1011119,16,0,0,0.0225,3,10,10,6,10,0,1
"world3nn_divided_size.17",1031428,17,86,0.0431599878221945,0.0111363244271456,0.0988416099579224,8.47392010688782,"world3nn_divided_size",1305,966481.9923,1031021,1030190,15,0,0,0.0225,3,10,10,6,10,3,3
"world3nn_divided_size.19",1039210,19,70,0.0180694016189314,0.0136868647949094,0.0865037255934782,3.05567789077759,"world3nn_divided_size",1065,1195177.0464,1038572,1038157,17,0,0,0.0225,8,7,7,6,7,6,31
"world3nn_divided_size.14",1018264,14,54,0.0241056597723641,0.0119576533231874,0.0838939263883012,3.41629409790039,"world3nn_divided_size",825,571730.0205,1017936,1017945,14,0,0,0.0225,4,9,9,6,9,9,40
"world3nn_divided_size.10",1002445,10,59,0.0273347471248006,0.00468338958440944,0.0507516950468478,2.82938599586487,"world3nn_divided_size",900,72477.0213,1001928,1002212,10,0,0,0.0225,2,7,7,6,7,2,32
"world3nn_divided_size.11",1006033,11,50,0.00968301451765355,0.00575423550728572,0.0384541920540821,1.73847484588623,"world3nn_divided_size",765,194038.0293,1005633,1005965,8,0,0,0.0225,2,5,5,6,5,10,28
