"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn","bbox_min_x","bbox_min_y","bbox_min_z","bbox_max_x","bbox_max_y","bbox_max_z"
"world2n_bbox.16",1025283,16,31,0.0414419898500668,0.0214753155663459,0.148818567681796,3.58878087997437,"world2n_bbox",480,700490.055,1025194,1025107,23,0,0,0.0225,8,5,5,6,5,2,3,-0.101791699181304,-0.15565174463134,-0.0225,0.667346398556892,0.045,0.0225
"world2n_bbox.14",1018052,14,57,0.0298763043298302,0.0180338395636354,0.120045502148007,3.46088790893555,"world2n_bbox",870,500275.071,1017657,1017743,15,0,0,0.0225,4,6,6,6,6,1,23,-0.184578225641285,-0.426880202369693,-0.0225,0.120157270174726,0.205995801550168,0.0225
"world2n_bbox.13",1016156,13,99,0.0362949075120181,0.0162105531453889,0.117347673238963,4.28524208068848,"world2n_bbox",1500,448999.0452,1015473,1015221,13,0,0,0.0225,4,9,9,6,9,0,14,-0.11534161941414,-0.409517881469714,-0.0225,0.0827000451111436,0.109286533427074,0.0225
"world2n_bbox.17",1030555,17,94,0.0274780621603877,0.0174222482940532,0.114589303630654,5.16514301300049,"world2n_bbox",1425,835033.0458,1030354,1030279,18,0,0,0.0225,5,10,10,6,10,0,15,-0.139171462458504,-0.170811233528038,-0.0225,0.376256168708816,0.152618284816366,0.0225
"world2n_bbox.15",1022441,15,93,0.0254361872788809,0.0144927570898738,0.0978999727282499,3.25105285644531,"world2n_bbox",1410,622360.0758,1021257,1021566,10,0,0,0.0225,3,6,6,6,6,1,13,-0.045,-0.271200062444403,-0.0225,0.0860000753005663,0.178165909997569,0.0225
"world2n_bbox.19",1039581,19,62,0.0219782903570929,0.0144365907531772,0.0941612441229787,4.71568202972412,"world2n_bbox",945,1094186.0088,1039336,1039422,16,0,0,0.0225,4,8,8,6,8,3,41,-0.229495024790829,-0.0827000624447111,-0.0225,0.330358023151397,0.182253385435306,0.0225
"world2n_bbox.11",1006576,11,85,0.0225478832954312,0.0124056231893577,0.0845759992422199,4.75223112106323,"world2n_bbox",1290,184669.0128,1006220,1006271,12,0,0,0.0225,3,10,10,6,10,0,20,-0.045,-0.0827000624444668,-0.0225,0.0827,0.387600054398519,0.0225
"world2n_bbox.12",1011402,12,82,0.0156094241090403,0.0128953432074017,0.0800861401460486,4.27295994758606,"world2n_bbox",1245,317494.0542,1010564,1009412,13,0,0,0.0225,4,8,8,6,8,6,20,-0.190038459944853,-0.146791582076254,-0.0225,0.289016699667877,0.120400062444237,0.0225
"world2n_bbox.18",1037180,18,99,0.0227169900874292,0.00791193201342094,0.0622766501545339,2.37179017066956,"world2n_bbox",1500,1026184.0389,1037136,1036870,10,0,0,0.0225,3,5,5,6,5,7,19,-0.250000054398519,-0.127000075300566,-0.0225,0.086,0.045,0.0225
"world2n_bbox.10",1001005,10,25,0.00948571205902547,0.00296106514275083,0.0242910377727796,4.18695020675659,"world2n_bbox",390,27675.9942,1000910,11,0,0,0.0225,4,9,9,6,9,2,25,-0.120400045110896,-0.0827000624444032,-0.0225,0.1713,0.0860000543985186,0.0225,NA
