"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn"
"world3_old_fitness.14",1018522,14,47,0.0502082996098604,0.0378250163714896,0.239333381467308,4.09097504615784,"world3_old_fitness",720,520837.0005,1017761,1018350,13,0,0,0.0225,3,10,10,6,10,1,3
"world3_old_fitness.17",1032835,17,92,0.0424839233335331,0.0287764381972744,0.186366114319905,3.54143095016479,"world3_old_fitness",1395,917077.0773,1031611,1032805,21,0,0,0.0225,7,8,8,6,8,2,31
"world3_old_fitness.16",1027095,16,59,0.050453787833368,0.022970455603818,0.165306065852458,2.95851492881775,"world3_old_fitness",900,756857.9952,1026138,1026395,29,0,0,0.0225,7,6,6,6,6,0,7
"world3_old_fitness.19",1041397,19,91,0.0612218488181979,0.0183609809982381,0.153026753809389,2.839928150177,"world3_old_fitness",1380,1161594.0156,1040957,1040919,20,0,0,0.0225,4,6,6,6,6,4,12
"world3_old_fitness.11",1006459,11,60,0.0422704711669196,0.0203712416604939,0.144126679469389,3.26888489723206,"world3_old_fitness",915,187999.0683,1006143,1005487,16,0,0,0.0225,2,8,8,6,8,3,23
"world3_old_fitness.18",1037528,18,97,0.0386617098305287,0.0210447425905797,0.143885422783427,4.58265686035156,"world3_old_fitness",1470,1048728.0294,1037181,1036525,26,0,0,0.0225,7,9,9,6,9,1,21
"world3_old_fitness.12",1011359,12,98,0.0295673595550995,0.0228301954798547,0.143718336954373,3.33347320556641,"world3_old_fitness",1485,326661.9996,1009458,1009943,18,0,0,0.0225,4,8,8,6,8,0,2
"world3_old_fitness.10",1003439,10,91,0.0521425405325627,0.0135818378232654,0.12005172964889,3.56297492980957,"world3_old_fitness",1380,100647.066,1002202,1002867,20,0,0,0.0225,5,7,7,6,7,4,16
"world3_old_fitness.13",1016505,13,97,0.0324491004063184,0.016803182704144,0.116465013927038,4.37586188316345,"world3_old_fitness",1470,463242.0651,1016308,1016246,20,0,0,0.0225,6,10,10,6,10,3,24
"world3_old_fitness.15",1023777,15,82,0.0435217568479475,0.0126260421232704,0.106651967464299,4.82600998878479,"world3_old_fitness",1245,666360.0111,1022177,1023324,23,0,0,0.0225,4,9,9,6,9,5,7
