"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn"
"world0n_divided_size.18",1037045,18,95,0.0494070854326681,0.0283549224987591,0.191181697926464,2.46779990196228,"world0n_divided_size",1440,1269838.9878,1035874,1036447,13,0,0,0.0225,2,9,9,6,9,1,25
"world0n_divided_size.13",1015186,13,66,0.0314351459788483,0.0200013533181415,0.131441912569556,2.61480522155762,"world0n_divided_size",1005,497709.0585,1015056,1014955,22,0,0,0.0225,7,8,8,6,8,0,8
"world0n_divided_size.10",1001140,10,37,0.0287719138874573,0.0200171068180386,0.12885744797765,2.11469101905823,"world0n_divided_size",570,32764.9965,1000891,1000838,17,0,0,0.0225,5,8,8,6,8,1,13
"world0n_divided_size.16",1029015,16,98,0.0270765704582362,0.0164905206485176,0.109529173700824,2.19077897071838,"world0n_divided_size",1485,985799.0751,1028899,1028903,15,0,0,0.0225,4,8,8,6,8,2,22
"world0n_divided_size.14",1019328,14,69,0.0240127241013428,0.0149354818657021,0.0986901334298534,2.25431895256042,"world0n_divided_size",1050,634495.0008,1018931,1018813,13,0,0,0.0225,3,8,8,6,8,8,44
"world0n_divided_size.19",1040162,19,77,0.0168288275920872,0.0149769069440472,0.0917133623123231,1.13027000427246,"world0n_divided_size",1170,1387323.0417,1039761,1039484,8,0,0,0.0225,3,4,4,6,4,1,0
"world0n_divided_size.15",1024705,15,92,0.0269580543261982,0.00944268038830277,0.074171456267712,1.5482177734375,"world0n_divided_size",1395,843582.0282,1023678,1023751,12,0,0,0.0225,2,6,6,6,6,10,73
"world0n_divided_size.17",1030965,17,54,0.0327365963383826,0.00636437181268917,0.0645584554018285,1.60315608978271,"world0n_divided_size",825,1056123.0039,1030848,1030051,7,0,0,0.0225,3,6,6,6,6,2,8
"world0n_divided_size.11",1007832,11,89,0.0135662755896659,0.00727147408919877,0.0499236460356597,1.64232707023621,"world0n_divided_size",1350,241896.9936,1006509,1007135,14,0,0,0.0225,5,6,6,6,6,5,24
"world0n_divided_size.12",1011644,12,98,0.00744100264486237,0.00732693717965156,0.0440756885431202,1.33392906188965,"world0n_divided_size",1485,381326.0112,1009531,1011357,9,0,0,0.0225,4,4,4,6,4,10,21
