"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn","bbox_min_x","bbox_min_y","bbox_min_z","bbox_max_x","bbox_max_y","bbox_max_z"
"world0n_diagonal.19",1039676,19,55,0.0408154800475126,0.0335255641220556,0.208443300657791,1.89241099357605,"world0n_diagonal",840,1230533.0376,1039581,1039549,19,0,0,0.0225,3,5,5,6,5,0,21,-0.448220497695351,-0.068849575169298,-0.0225,0.228728539354333,0.150066057014079,0.0225
"world0n_diagonal.16",1027707,16,95,0.0347959946345817,0.031569550432943,0.192643746799297,1.73465013504028,"world0n_diagonal",1440,857158.0515,1027185,1027254,16,0,0,0.0225,3,5,5,6,5,6,27,-0.338510873139418,-0.152521101746495,-0.0225,0.318145930085956,0.21491996548206,0.0225
"world0n_diagonal.14",1020931,14,96,0.032986457231251,0.0255514002628363,0.160743458545432,1.76492500305176,"world0n_diagonal",1455,639991.9947,1020769,1020689,13,0,0,0.0225,4,6,6,6,6,1,20,-0.3122,-0.0860000753005663,-0.0225,0.168000054398519,0.0860000753005663,0.0225
"world0n_diagonal.18",1037102,18,98,0.0305363682439991,0.0257119779261028,0.159096257874513,2.34758400917053,"world0n_diagonal",1485,1143945.9918,1035350,1034167,17,0,0,0.0225,7,8,8,6,8,8,45,-0.202236197730805,-0.251572889484825,-0.0225,0.249127391458729,0.11297316345798,0.0225
"world0n_diagonal.10",1003952,10,97,0.0265334453654497,0.0260775914699908,0.156921402715404,2.06822109222412,"world0n_diagonal",1470,119104.002,1003193,1003141,15,0,0,0.0225,6,6,6,6,6,0,20,-0.105939199086624,-0.131704706959632,-0.0225,0.102984314114365,0.394167580518423,0.0225
"world0n_diagonal.13",1015205,13,65,0.0236259917690458,0.0211293328110338,0.129272655824215,2.31193900108337,"world0n_diagonal",990,458300.9838,1013913,1014479,18,0,0,0.0225,5,7,7,6,7,0,5,-0.153416466428177,-0.255500111577677,-0.0225,0.204891650356793,0.222402824299008,0.0225
"world0n_diagonal.17",1032501,17,80,0.0244176732103365,0.0193660797701743,0.121248072061208,2.54141902923584,"world0n_diagonal",1215,999670.0329,1031990,1032415,17,0,0,0.0225,5,8,8,6,8,0,1,-0.106122638889261,-0.109599310916035,-0.0225,0.1237,0.349900075300566,0.0225
"world0n_diagonal.12",1012599,12,98,0.0297479845814618,0.0155005656975319,0.107250813069121,3.17000699043274,"world0n_diagonal",1485,376868.007,1011346,1012422,15,0,0,0.0225,3,10,10,6,10,0,7,-0.0827,-0.205758827698985,-0.0225,0.284463361694347,0.0932912126607446,0.0225
"world0n_diagonal.11",1008272,11,98,0.0248581591545702,0.01607839135318,0.10525011592047,2.75945997238159,"world0n_diagonal",1485,248670.0333,1007177,1007011,19,0,0,0.0225,7,9,9,6,9,1,18,-0.124316101979452,-0.304652604651032,-0.0225,0.127000075300566,0.285839370205324,0.0225
"world0n_diagonal.15",1024650,15,97,0.0307099512166131,0.013895696191315,0.100188432173188,3.07902693748474,"world0n_diagonal",1470,751345.0722,1023930,1024207,18,0,0,0.0225,5,10,10,6,10,4,21,-0.2335,-0.142876757709491,-0.0225,0.353929871441114,0.104500865642456,0.0225
